======C:1.0E-4	Delta:0.01
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:57	RecBLocks:8	TO:7.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:25	RecBLocks:8	TO:3.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:25	RecBLocks:8	TO:3.125
TxBlocks:20	RecBLocks:8	TO:2.5
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:30	RecBLocks:8	TO:3.75
TxBlocks:23	RecBLocks:8	TO:2.875
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:31	RecBLocks:8	TO:3.875
TxBlocks:54	RecBLocks:8	TO:6.75
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:18	RecBLocks:8	TO:2.25
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:54	RecBLocks:8	TO:6.75
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:35	RecBLocks:8	TO:4.375
TxBlocks:20	RecBLocks:8	TO:2.5
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:35	RecBLocks:8	TO:4.375
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:25	RecBLocks:8	TO:3.125
TxBlocks:33	RecBLocks:8	TO:4.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:31	RecBLocks:8	TO:3.875
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:33	RecBLocks:8	TO:4.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:36	RecBLocks:8	TO:4.5
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:18	RecBLocks:8	TO:2.25
TxBlocks:20	RecBLocks:8	TO:2.5
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:35	RecBLocks:8	TO:4.375
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:20	RecBLocks:8	TO:2.5
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:20	RecBLocks:8	TO:2.5
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:19	RecBLocks:8	TO:2.375
TxBlocks:35	RecBLocks:8	TO:4.375
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:33	RecBLocks:8	TO:4.125
TxBlocks:25	RecBLocks:8	TO:3.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:55	RecBLocks:8	TO:6.875
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:26	RecBLocks:8	TO:3.25
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:57	RecBLocks:8	TO:7.125
TxBlocks:21	RecBLocks:8	TO:2.625
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:26	RecBLocks:8	TO:3.25
TxBlocks:18	RecBLocks:8	TO:2.25
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:24	RecBLocks:8	TO:3.0
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:38	RecBLocks:8	TO:4.75
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:18	RecBLocks:8	TO:2.25
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:33	RecBLocks:8	TO:4.125
TxBlocks:17	RecBLocks:8	TO:2.125
TxBlocks:17	RecBLocks:8	TO:2.125
